"","Pval","log2FoldChange_GroupX_vs_GroupY"
"ENSMUSG00000028759",0.342857142857143,-0.0129793816647918
"ENSMUSG00000028757",0.342857142857143,0.0424866244831163
"ENSMUSG00000028755",0.2,0.844421536058524
"ENSMUSG00000028745",0.2,0.0819037231504662
"ENSMUSG00000006219",0.2,0.501333534605925
"ENSMUSG00000028583",0.2,-0.188230365115139
"ENSMUSG00000070610",0.114285714285714,0.682993029493921
"ENSMUSG00000014592",0.114285714285714,-0.172169098254565
"ENSMUSG00000028946",0.485714285714286,2.33215229247659
"ENSMUSG00000058498",0.2,0.344695748251358
"ENSMUSG00000039523",0.2,-0.120491167013248
"ENSMUSG00000039492",0.342857142857143,0.270777293871638
"ENSMUSG00000086682",0.342857142857143,-0.0845215828037414
"ENSMUSG00000029061",0.685714285714286,0.668623740072639
"ENSMUSG00000041936",0.2,0.118587101384998
"ENSMUSG00000035692",0.342857142857143,0.370561695429292
"ENSMUSG00000095567",0.2,0.14539236000811
"ENSMUSG00000062353",0.2,0.556211261265046
"ENSMUSG00000040367",0.2,0.305767279046626
"ENSMUSG00000106472",0.685714285714286,-0.313468506652745
"ENSMUSG00000046798",0.2,-0.226229285780316
"ENSMUSG00000039968",0.2,-0.254280561435793
"ENSMUSG00000101013",0.0571428571428571,0.640083985861271
"ENSMUSG00000039095",0.685714285714286,1.40489501124531
"ENSMUSG00000044681",0.685714285714286,2.6199324665322
"ENSMUSG00000025745",0.685714285714286,0.0126772666724312
"ENSMUSG00000106229",0.885714285714286,0.419448409074852
"ENSMUSG00000029147",0.342857142857143,0.0538529692745807
"ENSMUSG00000106717",0.685714285714286,0.476739005040898
"ENSMUSG00000106918",0.2,0.136348640540394
"ENSMUSG00000082305",0.342857142857143,-0.718186710407367
"ENSMUSG00000037210",0.685714285714286,0.0877412760024713
"ENSMUSG00000029103",0.342857142857143,0.0590682202325809
"ENSMUSG00000029192",0.2,-0.145538189421928
"ENSMUSG00000107168",0.342857142857143,-0.174810363060316
"ENSMUSG00000061755",0.342857142857143,-0.0400750700646601
"ENSMUSG00000039706",0.685714285714286,-0.100018448577516
"ENSMUSG00000105791",1,0.567000704939073
"ENSMUSG00000104562",0.885714285714286,0.0477115956488272
"ENSMUSG00000106539",0.885714285714286,1.17825590214006
"ENSMUSG00000029179",0.342857142857143,-0.0938162467515029
"ENSMUSG00000082705",0.485714285714286,0.162634992724529
"ENSMUSG00000029152",0.485714285714286,-0.0159820241821522
"ENSMUSG00000029366",0.0285714285714286,-0.388795945172929
"ENSMUSG00000029368",0.885714285714286,-1.71377102026741
"ENSMUSG00000029397",0.485714285714286,0.0317816430111407
"ENSMUSG00000083700",0.885714285714286,-0.0254950549326591
"ENSMUSG00000029486",0.685714285714286,-0.195409671625497
"ENSMUSG00000105814",0.485714285714286,0.049557500440064
"ENSMUSG00000105218",0.885714285714286,-0.00172156075821943
"ENSMUSG00000035297",0.342857142857143,0.0336110128484285
"ENSMUSG00000016833",1,-0.000384540507434213
"ENSMUSG00000034384",1,1.01308706836153
"ENSMUSG00000058558",0.342857142857143,-0.00266510457805299
"ENSMUSG00000072769",0.885714285714286,-0.00388529219390873
"ENSMUSG00000064247",0.2,0.227154531843908
"ENSMUSG00000042096",0.685714285714286,2.2740899120337
"ENSMUSG00000041890",0.685714285714286,0.0911388542324514
"ENSMUSG00000048578",0.685714285714286,-0.0100952001466182
"ENSMUSG00000096243",0.885714285714286,-2.26227583014865
"ENSMUSG00000094377",0.882420114075504,-2.03034316722344
"ENSMUSG00000067274",0.885714285714286,0.0547288052852154
"ENSMUSG00000041548",0.342857142857143,-0.059647821937909
"ENSMUSG00000061578",0.885714285714286,-0.00108723801052181
"ENSMUSG00000032898",0.885714285714286,-0.0308111677152624
"ENSMUSG00000018604",0.342857142857143,0.0899509640535014
"ENSMUSG00000029597",0.685714285714286,0.153175647578206
"ENSMUSG00000001166",0.685714285714286,0.242440065524834
"ENSMUSG00000105434",0.342857142857143,0.215565140382126
"ENSMUSG00000029472",0.2,0.0653816889990835
"ENSMUSG00000105881",0.885714285714286,0.11858209425318
"ENSMUSG00000029442",0.342857142857143,0.20811806187038
"ENSMUSG00000106636",0.885714285714286,0.817866540519677
"ENSMUSG00000029422",0.2,-0.0946480443991687
"ENSMUSG00000029406",0.885714285714286,0.00729668746933489
"ENSMUSG00000038126",0.342857142857143,-0.0508352714789752
"ENSMUSG00000049327",0.342857142857143,-0.0915266913985785
"ENSMUSG00000029401",0.685714285714286,-0.0266261869407758
"ENSMUSG00000037936",0.2,0.0981311196985376
"ENSMUSG00000008348",0.885714285714286,0.281640348431468
"ENSMUSG00000072612",0.2,0.931292335963172
"ENSMUSG00000029420",0.885714285714286,0.0296747993510506
"ENSMUSG00000029436",0.685714285714286,-0.00784831865180737
"ENSMUSG00000025340",0.342857142857143,0.0116042484573025
"ENSMUSG00000106320",0.485714285714286,-0.188661742169018
"ENSMUSG00000105985",0.485714285714286,0.14244931674133
"ENSMUSG00000029710",0.342857142857143,0.312552168814796
"ENSMUSG00000029718",0.2,0.26773074071029
"ENSMUSG00000082088",0.885714285714286,0.307267512556816
"ENSMUSG00000053581",0.2,-0.0988326423687853
"ENSMUSG00000029546",0.2,1.60971020813143
"ENSMUSG00000036639",0.2,0.38259038394811
"ENSMUSG00000056076",0.485714285714286,0.0690220783482614
"ENSMUSG00000036555",0.685714285714286,0.137539376048619
"ENSMUSG00000039533",0.885714285714286,-0.0717960849645856
"ENSMUSG00000039477",0.485714285714286,0.0472969989078987
"ENSMUSG00000105345",0.2,0.545669080637328
"ENSMUSG00000001844",0.342857142857143,0.0738155871760748
"ENSMUSG00000083012",0.685714285714286,0.0277610413300596
"ENSMUSG00000032827",0.342857142857143,-0.141347003847704
"ENSMUSG00000032667",0.114285714285714,-0.181841382082216
"ENSMUSG00000062995",0.685714285714286,0.0460292305756148
"ENSMUSG00000046178",0.685714285714286,-0.171345672939555
"ENSMUSG00000029552",0.485714285714286,-0.0544621596922364
"ENSMUSG00000007655",0.342857142857143,-0.176661612066552
"ENSMUSG00000023089",1,0.143504337181217
"ENSMUSG00000003500",0.2,0.0986045034875798
"ENSMUSG00000039629",0.342857142857143,-0.149694100433595
"ENSMUSG00000023367",0.885714285714286,-0.197605692322747
"ENSMUSG00000029821",0.685714285714286,-0.102674428487263
"ENSMUSG00000063694",0.2,-0.112272848115807
"ENSMUSG00000045725",0.485714285714286,0.191238724786192
"ENSMUSG00000002797",0.2,0.168920105302604
"ENSMUSG00000002930",0.685714285714286,1.51952789958111
"ENSMUSG00000053604",0.485714285714286,-0.0617853398503238
